material_id,material_name,material_type,strength_score,weight_capacity_score,biodegradability_score,co2_emission_score,recyclability_percent,co2_impact_index,performance_index,material_suitability_score
1,Recycled cardboard / paperboard,Fiber-based (cellulosic),3,3,85,70,75,27.5,3.0,8.45
2,Molded pulp (recycled paper fiber),Fiber-based (cellulosic),3,3,85,70,70,29.0,3.0,8.440000000000001
3,"Kraft paper wraps, paper padding",Fiber-based,2,2,90,70,70,28.0,2.0,9.34
4,Starch-based foams/peanuts,Bio-based polymer (starch),2,3,95,85,30,46.5,2.4000000000000004,7.649999999999999
5,Mycelium-based molded packaging,Bio-based composite,3,3,95,90,20,52.0,3.0,6.84
6,"Bagasse, wheat-straw, other agri fibers",Fiber-based from agro-residues,3,3,90,85,60,38.5,3.0,6.670000000000002
7,"PLA bioplastic (films, rigid)",Bio-based polyester,3,4,70,60,30,39.0,3.4,6.75
8,"Other compostable bioplastics (PHA, PBS)",Bio-based polyesters,3,3,85,75,25,45.0,3.0,7.350000000000001
9,Cellulose / seaweed bio-films,Bio-based polymer films,2,2,95,90,25,50.5,2.0,6.5
10,"PCR PET (bottles, trays)",Recycled fossil plastic,4,4,0,55,60,41.5,4.0,-9.48
11,PCR HDPE/LDPE,Recycled fossil plastic,4,4,0,55,55,43.0,4.0,-9.49
12,"Glass (bottles, jars, vials)",Inorganic (silicate),4,3,0,50,80,33.0,3.6,-8.58
13,Aluminium cans / tins,Metal (aluminium),5,5,0,55,85,34.0,5.0,-9.08
14,"Bamboo (components, shells)",Lignocellulosic (wood-like),4,4,90,90,50,44.0,4.0,6.0
15,"Cork, wood, wood-composites",Lignocellulosic,4,4,90,85,60,38.5,4.0,7.02
16,Cotton/jute textile bags,Natural fiber,3,3,90,60,40,32.0,3.0,11.629999999999999
17,Hemp fiber molded packaging,Natural fiber,4,4,92,88,55,41.099999999999994,4.0,6.909999999999997
18,Sugarcane bagasse sheets,Agro-waste fiber,3,3,88,82,65,35.9,3.0,6.779999999999998
19,Rice husk composites,Agro-waste composite,3,3,85,85,50,42.5,3.0,5.400000000000002
20,Chitin/chitosan films (mushroom/shell),Bio-based polysaccharide,2,2,90,88,30,49.0,2.0,5.659999999999997
21,Recycled steel tins,Metal (steel),5,5,0,60,90,35.0,5.0,-10.07
22,PCR PP (polypropylene) trays,Recycled fossil plastic,4,4,0,58,50,46.0,4.0,-10.100000000000001
23,Beeswax-coated paper,Bio-based coated fiber,2,2,85,80,45,41.5,2.0,6.039999999999999
24,Seaweed-based rigid trays,Bio-based polysaccharide,3,3,95,92,25,51.5,3.0,6.449999999999999
25,Newspaper honeycomb inserts,Recycled fiber composite,3,4,88,75,70,30.9,3.4,8.330000000000002
26,Algae-based plastics,Bio-based (algae),3,3,95,95,20,54.5,3.0,5.84
27,Cellophane films,Regenerated cellulose,2,2,95,85,40,43.5,2.0,7.529999999999998
28,Cornstarch-based bioplastic trays,Bio-based starch,3,3,90,70,25,41.5,3.0,9.600000000000001
29,Coconut coir padding,Natural fiber (coir),3,3,92,88,50,42.599999999999994,3.0,6.550000000000001
30,Palm leaf trays,Lignocellulosic (palm),3,2,95,90,30,49.0,2.5999999999999996,6.719999999999999
31,Banana fiber composites,Agro-waste fiber,3,3,90,85,45,43.0,3.0,6.640000000000001
32,Cassava starch foams,Bio-based starch,2,3,95,82,20,48.0,2.4000000000000004,8.229999999999997
33,Beet pulp molded pulp,Agro-waste fiber,3,3,88,80,55,37.9,3.0,7.16
34,Carrot pulp trays,Agro-waste composite,2,2,90,85,40,44.5,2.0,6.279999999999998
35,Tapioca-based films,Bio-based starch,2,2,95,78,25,44.5,2.0,8.899999999999999
36,Corn cob fillers,Agro-waste particle,2,3,92,88,60,39.599999999999994,2.4000000000000004,6.359999999999999
37,Peanut shell composites,Agro-waste composite,3,3,85,85,50,42.5,3.0,5.400000000000002
38,Sorghum stalk padding,Lignocellulosic,2,2,90,87,55,41.0,2.0,5.909999999999997
39,Flax fiber bags,Natural fiber,4,4,92,90,60,40.599999999999994,4.0,6.52
40,Sisal fiber wraps,Natural fiber,3,3,90,85,50,41.5,3.0,6.650000000000002
41,Abaca (manila hemp) sheets,Natural fiber,4,4,88,82,55,38.9,4.0,7.109999999999996
42,Kapok fiber cushions,Natural fiber,2,3,95,92,30,50.0,2.4000000000000004,6.2499999999999964
43,Pineapple leaf fibers (piña),Agro-waste fiber,3,3,90,88,45,44.5,3.0,6.039999999999999
44,Coffee husk composites,Agro-waste composite,3,3,85,85,50,42.5,3.0,5.400000000000002
45,Olive stone fillers,Agro-waste particle,3,4,88,82,55,38.9,3.4,6.899999999999999
46,Date palm composites,Lignocellulosic,4,4,90,87,60,39.5,4.0,6.619999999999997
47,Avocado seed bioplastics,Bio-based composite,2,2,92,90,25,51.099999999999994,2.0,5.75
48,Mushroom root (mycelium variants),Bio-based composite,3,3,95,92,20,53.0,3.0,6.439999999999998
49,Agar-agar films (seaweed binder),Bio-based polysaccharide,2,2,95,93,25,52.0,2.0,5.899999999999999
50,Wheat bran sheets,Agro-waste fiber,2,2,90,80,65,34.5,2.0,7.329999999999998
51,Barley straw pulp,Fiber-based (cellulosic),3,3,88,78,70,32.4,3.0,7.59
52,Maize cob composites,Agro-waste composite,3,3,90,85,55,40.0,3.0,6.66
53,Potato starch foams,Bio-based starch,2,3,95,80,25,45.5,2.4000000000000004,8.64
54,Sugarcane pulp trays,Agro-waste fiber,3,3,88,82,65,35.9,3.0,6.779999999999998
55,Apple pomace films,Agro-waste composite,2,2,92,88,40,45.599999999999994,2.0,6.179999999999996
56,Bamboo leaf sheets,Lignocellulosic,3,3,90,90,50,44.0,3.0,5.650000000000002
57,Reed fiber padding,Natural fiber,3,3,88,85,60,38.9,3.0,6.170000000000002
58,Esparto grass composites,Lignocellulosic,3,3,85,82,55,39.5,3.0,6.009999999999998
59,Typha (cattail) fiber,Natural fiber,2,2,92,88,45,44.099999999999994,2.0,6.189999999999998
60,Kenaf fiber molded,Natural fiber,4,4,90,87,60,39.5,4.0,6.619999999999997
61,Ramie fiber bags,Natural fiber,4,4,88,85,55,40.4,4.0,6.509999999999998
62,Coir pith blocks,Natural fiber (coir),3,4,95,90,50,43.0,3.4,7.040000000000003
63,Areca palm leaf plates,Lignocellulosic,3,2,95,92,30,50.0,2.5999999999999996,6.319999999999997
64,Sal leaf plates,Lignocellulosic,3,2,95,90,35,47.5,2.5999999999999996,6.73
65,Sago palm starch films,Bio-based starch,2,2,95,80,25,45.5,2.0,8.5
66,Jackfruit seed bioplastics,Bio-based composite,2,2,90,88,30,49.0,2.0,5.659999999999997
67,Durian rind composites,Agro-waste composite,3,3,88,85,45,43.4,3.0,6.140000000000001
68,Mango seed coatings,Bio-based polymer,2,2,92,87,40,45.099999999999994,2.0,6.3799999999999955
69,Papaya leaf fibers,Agro-waste fiber,2,2,90,85,50,41.5,2.0,6.300000000000001
70,Guava pomace fillers,Agro-waste particle,2,3,88,82,55,38.9,2.4000000000000004,6.549999999999997
71,Lentil hull composites,Agro-waste composite,3,3,85,80,60,37.0,3.0,6.420000000000002
72,Chickpea straw pulp,Fiber-based,3,3,90,85,65,37.0,3.0,6.68
73,Soybean hull sheets,Agro-waste fiber,3,3,88,82,55,38.9,3.0,6.759999999999998
74,Alginate films (brown algae),Bio-based polysaccharide,2,2,95,93,25,52.0,2.0,5.899999999999999
75,Carrageenan wraps (red algae),Bio-based polysaccharide,2,2,95,92,25,51.5,2.0,6.099999999999998
76,Fucoidan-based trays,Bio-based polysaccharide,3,3,94,91,25,51.2,3.0,6.400000000000002
77,Pectin films (fruit-derived),Bio-based polysaccharide,2,2,92,88,30,48.599999999999994,2.0,6.159999999999997
78,Bacterial cellulose sheets,Bio-based (microbial),4,3,95,90,20,52.0,3.6,7.050000000000001
79,Pullulan films (fungal),Bio-based polysaccharide,2,2,95,92,25,51.5,2.0,6.099999999999998
80,Xanthan gum coatings,Bio-based polysaccharide,2,2,90,88,30,49.0,2.0,5.659999999999997
81,Guar gum composites,Bio-based polysaccharide,2,3,92,87,35,46.599999999999994,2.4000000000000004,6.509999999999998
82,Orange peel composites,Agro-waste composite,2,2,92,88,40,45.599999999999994,2.0,6.179999999999996
83,Lemon peel films,Agro-waste polymer,2,2,90,87,35,47.0,2.0,5.869999999999997
84,Pomegranate rind trays,Agro-waste composite,3,3,88,85,45,43.4,3.0,6.140000000000001
85,Grape pomace fillers,Agro-waste particle,2,3,90,86,50,42.0,2.4000000000000004,6.240000000000002
86,Tomato skin sheets,Agro-waste fiber,2,2,92,88,40,45.599999999999994,2.0,6.179999999999996
87,Onion peel composites,Agro-waste composite,3,3,85,82,55,39.5,3.0,6.009999999999998
88,Garlic husk padding,Agro-waste particle,2,2,88,85,50,41.9,2.0,5.800000000000001
89,Eggshell calcium composites,Bio-mineral composite,4,4,85,80,60,37.0,4.0,6.77
90,Crab shell chitin films,Bio-based polysaccharide,3,3,90,88,30,49.0,3.0,6.009999999999998
91,Shrimp shell chitosan trays,Bio-based polysaccharide,3,3,92,89,30,49.099999999999994,3.0,6.309999999999999
92,Fish scale bioplastics,Bio-based composite,3,3,85,85,25,50.0,3.0,5.350000000000001
93,Feather keratin foams,Bio-based protein,2,2,90,87,20,51.5,2.0,5.839999999999996
94,Wool fiber padding,Natural fiber (animal),3,3,85,75,70,31.5,3.0,7.440000000000001
95,Silk cocoons composites,Natural fiber (protein),3,3,80,80,40,44.0,3.0,5.129999999999999
96,Casein (milk protein) films,Bio-based protein,2,2,90,82,25,47.5,2.0,6.849999999999998
97,Gelatin-based wraps,Bio-based protein,2,2,95,85,20,49.5,2.0,7.489999999999998
98,Collagen sheets,Bio-based protein,3,3,92,88,30,48.599999999999994,3.0,6.509999999999998
99,Lignin foams (wood extract),Bio-based polymer,3,3,85,90,40,48.0,3.0,4.379999999999999
100,Hemicellulose films,Bio-based polysaccharide,2,2,90,88,35,47.5,2.0,5.669999999999998
101,Glucomannan noodles/padding,Bio-based polysaccharide,2,3,95,87,25,49.0,2.4000000000000004,7.239999999999998
102,Locust bean gum trays,Bio-based polysaccharide,2,2,92,86,30,47.599999999999994,2.0,6.559999999999999
103,Konjac glucomannan films,Bio-based polysaccharide,2,2,95,88,25,49.5,2.0,6.899999999999999
104,Fungal keratinase composites,Bio-based composite,3,3,95,92,20,53.0,3.0,6.439999999999998
105,Bacterial nanocellulose foams,Bio-based (microbial),4,4,95,90,20,52.0,4.0,7.189999999999998
106,PHA from bacteria (films),Bio-based polyester,3,3,95,85,25,48.0,3.0,7.850000000000001
107,PHB bottles/trays,Bio-based polyester,4,4,90,80,30,45.0,4.0,7.959999999999997
108,Polyhydroxybutyrate composites,Bio-based polyester,4,4,92,82,30,45.599999999999994,4.0,8.059999999999995
109,Spider silk-inspired synthetics,Bio-based protein mimic,5,4,85,88,40,47.0,4.6,5.339999999999996
110,Nettle fiber bags,Natural fiber,4,4,90,87,55,41.0,4.0,6.609999999999996
111,Willow bark composites,Lignocellulosic,3,3,88,85,60,38.9,3.0,6.170000000000002
