material_name,strength_score,weight_capacity_kg,biodegradability_score,co2_emission_kg,recyclability_percent,cost_per_unit_usd,moisture_resistance,heat_resistance,industry_standard,reuse_cycles,compostable
Recycled Paper Variant 249,8,10.34,8,5.77,82,1.47,High,Medium,Cosmetics,4,No
Wooden Crate Variant 250,8,29.42,6,2.31,90,0.46,Low,High,Food,5,No
Bagasse Fiber Variant 251,4,10.91,5,4.51,52,1.22,Medium,Medium,Food,5,No
Molded Pulp Variant 252,5,31.13,10,4.09,89,2.48,High,Low,Electronics,3,Yes
Recycled Paper Variant 253,4,34.97,4,2.03,77,1.48,High,Low,Electronics,3,Yes
Glass Variant 254,7,9.92,3,2.13,85,0.31,High,High,Electronics,5,Yes
Wooden Crate Variant 255,10,38.05,2,0.67,60,1.43,Low,Low,Cosmetics,5,No
Biodegradable Plastic (PLA) Variant 256,10,25.66,9,4.25,71,1.85,Medium,High,General,5,Yes
Wooden Crate Variant 257,5,2.76,9,3.42,43,1.63,Medium,Medium,General,2,No
Recycled Paper Variant 258,10,37.68,4,2.42,54,0.82,Low,Low,Cosmetics,4,No
Bamboo Fiber Variant 259,5,47.67,6,5.57,40,0.61,High,Medium,Food,3,Yes
Kraft Paper Variant 260,4,25.55,2,5.14,56,1.79,Low,High,Food,5,Yes
Recycled Paper Variant 261,8,17.66,4,0.3,57,1.93,Medium,Medium,Food,3,No
Aluminum Variant 262,8,26.65,4,0.77,84,1.89,High,Low,Electronics,2,Yes
Palm Leaf Variant 263,8,31.35,3,4.71,72,2.37,Medium,Low,Electronics,1,Yes
Cornstarch Packaging Variant 264,7,13.36,5,2.57,40,1.47,High,Medium,Cosmetics,5,No
Bamboo Fiber Variant 265,10,12.01,5,2.76,93,2.15,Medium,High,General,3,Yes
Steel Variant 266,6,28.44,3,2.48,44,2.05,Low,High,Cosmetics,1,Yes
Bamboo Fiber Variant 267,8,23.71,3,0.69,40,2.3,Medium,Medium,Electronics,3,Yes
Aluminum Variant 268,8,49.71,9,0.86,82,0.88,High,High,General,5,Yes
Recycled PET Variant 269,5,8.77,6,4.2,94,0.94,Low,Medium,Cosmetics,1,Yes
Wooden Crate Variant 270,8,1.71,8,1.43,52,0.44,Medium,Low,Cosmetics,4,Yes
Wooden Crate Variant 271,7,29.52,4,2.71,50,2.35,Low,Medium,Cosmetics,2,No
Mushroom Packaging Variant 272,5,10.19,4,2.27,99,1.63,Low,High,Cosmetics,5,No
Mushroom Packaging Variant 273,4,8.28,4,1.39,85,0.48,Medium,Low,Electronics,1,No
Recycled Paper Variant 274,9,9.19,5,5.08,81,0.89,Medium,Low,Cosmetics,4,Yes
Molded Pulp Variant 275,7,14.74,6,2.87,60,2.09,High,Low,General,3,Yes
Biodegradable Plastic (PLA) Variant 276,8,41.96,5,5.01,100,1.59,Medium,Low,Food,2,Yes
Corrugated Cardboard Variant 277,4,42.18,6,2.38,82,1.33,Medium,Low,Electronics,4,Yes
Cornstarch Packaging Variant 278,4,28.91,9,0.48,47,1.49,High,Low,General,3,No
Kraft Paper Variant 279,8,40.43,10,3.16,57,1.26,Medium,High,Electronics,3,Yes
Recycled PET Variant 280,7,16.59,4,2.9,56,1.03,High,Medium,Food,2,No
Glass Variant 281,4,7.69,1,5.19,94,1.66,High,Medium,Cosmetics,1,No
Corrugated Cardboard Variant 282,4,42.0,10,1.61,91,1.35,High,High,Food,2,No
Kraft Paper Variant 283,7,10.22,3,2.47,93,1.05,High,Low,Food,4,No
Bagasse Fiber Variant 284,4,20.34,9,4.33,94,1.55,Low,Low,Food,2,Yes
Aluminum Variant 285,4,26.76,9,0.85,44,2.0,Medium,Low,General,4,Yes
Bagasse Fiber Variant 286,8,21.73,2,4.51,51,1.03,Low,Low,Food,1,No
Cornstarch Packaging Variant 287,9,10.68,5,2.87,59,1.37,Medium,Low,Electronics,2,Yes
Kraft Paper Variant 288,8,46.83,10,0.75,80,0.49,Low,High,General,4,No
Wooden Crate Variant 289,5,45.45,10,2.32,95,1.99,Low,High,Cosmetics,1,Yes
Bamboo Fiber Variant 290,8,2.0,4,2.33,84,1.22,Low,Medium,General,1,Yes
Bagasse Fiber Variant 291,5,9.52,6,4.39,91,1.27,Low,Low,Cosmetics,1,Yes
Steel Variant 292,10,49.78,10,3.37,70,1.47,Low,Medium,Cosmetics,2,No
Molded Pulp Variant 293,10,42.21,1,4.7,76,0.8,Low,Medium,General,4,No
Recycled Paper Variant 294,10,42.82,10,1.99,76,0.41,High,Medium,Cosmetics,2,Yes
Steel Variant 295,9,1.21,5,5.82,50,2.0,High,Low,Food,2,No
Wooden Crate Variant 296,8,20.71,5,5.93,93,1.57,High,Medium,Food,3,No
Kraft Paper Variant 297,4,14.31,2,3.39,94,1.33,Low,Medium,Food,5,No
Kraft Paper Variant 298,7,18.99,8,4.73,68,1.96,Medium,Low,Electronics,3,No
Corrugated Cardboard Variant 299,10,21.3,10,1.53,64,1.8,Medium,Medium,Electronics,4,Yes
Recycled PET Variant 300,9,5.08,8,4.39,68,0.54,Low,Medium,Electronics,5,Yes
Biodegradable Plastic (PLA) Variant 301,9,39.75,6,1.72,91,2.37,Low,Medium,Food,1,No
Bamboo Fiber Variant 302,10,22.75,2,3.02,43,1.05,Medium,High,Food,4,No
Corrugated Cardboard Variant 303,7,45.24,9,2.85,98,0.82,Medium,Low,General,3,Yes
Cornstarch Packaging Variant 304,10,1.19,6,2.42,68,0.44,Low,Low,Food,5,Yes
Cornstarch Packaging Variant 305,7,35.87,7,2.86,53,1.62,Medium,Medium,Food,3,No
Molded Pulp Variant 306,10,34.28,6,2.15,64,2.03,Low,Medium,Cosmetics,2,Yes
Molded Pulp Variant 307,8,33.86,9,4.1,60,0.82,Medium,High,Cosmetics,5,Yes
Wooden Crate Variant 308,7,25.26,5,3.22,42,1.49,High,Medium,Electronics,3,Yes
Recycled Paper Variant 309,5,35.39,2,1.55,52,1.72,Medium,High,Cosmetics,4,No
Kraft Paper Variant 310,4,46.81,9,4.1,53,1.95,High,Low,Cosmetics,3,No
Recycled PET Variant 311,7,23.94,4,5.81,92,0.58,Low,High,General,3,No
Glass Variant 312,6,38.03,2,0.94,45,0.44,High,Medium,General,1,Yes
Glass Variant 313,4,33.58,10,0.54,88,1.5,High,Medium,Electronics,3,No
Aluminum Variant 314,7,9.56,10,4.45,67,1.67,Medium,Low,Electronics,3,Yes
Mushroom Packaging Variant 315,8,21.6,2,3.08,79,2.32,Medium,High,Food,5,Yes
Bamboo Fiber Variant 316,10,9.37,9,5.45,58,1.7,High,High,Food,1,Yes
Wooden Crate Variant 317,4,15.1,1,6.0,47,0.68,Low,Medium,Food,5,No
Steel Variant 318,4,47.14,2,4.72,75,1.97,Medium,Low,Cosmetics,4,No
Corrugated Cardboard Variant 319,8,43.08,6,0.37,99,1.48,Medium,Low,Food,5,No
Bagasse Fiber Variant 320,6,22.56,7,4.85,81,0.82,Medium,Medium,Electronics,4,Yes
Corrugated Cardboard Variant 321,7,27.67,3,2.86,95,0.59,Low,Medium,Food,1,Yes
Recycled PET Variant 322,4,42.12,3,4.7,86,2.12,Low,Low,General,2,Yes
Cornstarch Packaging Variant 323,7,3.45,3,5.93,92,2.22,High,High,Food,2,Yes
Kraft Paper Variant 324,6,1.98,4,5.12,53,1.61,Medium,Low,Cosmetics,5,No
Kraft Paper Variant 325,10,3.03,6,1.41,80,0.23,Medium,Low,Cosmetics,4,No
Corrugated Cardboard Variant 326,5,8.53,3,5.42,52,2.44,High,High,Electronics,2,Yes
Biodegradable Plastic (PLA) Variant 327,5,45.85,3,2.12,77,1.14,Low,Medium,Food,2,Yes
Molded Pulp Variant 328,5,1.79,3,1.49,59,1.27,High,Low,Cosmetics,1,No
Recycled PET Variant 329,9,17.69,9,1.2,69,1.12,High,Low,General,4,No
Wooden Crate Variant 330,4,3.56,8,2.46,65,1.26,High,Low,Cosmetics,3,Yes
Wooden Crate Variant 331,6,20.35,3,0.39,52,0.6,Medium,High,Food,5,No
Corrugated Cardboard Variant 332,6,30.49,4,4.55,87,1.04,High,High,Food,4,No
Palm Leaf Variant 333,6,10.75,9,2.17,94,0.94,Medium,High,Electronics,1,Yes
Mushroom Packaging Variant 334,9,8.06,5,2.04,70,0.66,Low,Medium,Food,1,No
Molded Pulp Variant 335,4,22.68,1,4.43,55,1.35,Low,Low,Cosmetics,5,No
Molded Pulp Variant 336,9,5.62,6,3.94,58,0.92,Low,High,General,5,Yes
Recycled PET Variant 337,10,3.58,10,3.06,64,0.68,Medium,Medium,Cosmetics,1,Yes
Kraft Paper Variant 338,4,30.64,5,1.67,97,2.33,Low,Low,Electronics,1,Yes
Corrugated Cardboard Variant 339,4,2.59,9,1.01,66,0.47,Low,Low,Food,5,No
Glass Variant 340,10,12.73,1,5.98,72,2.05,High,High,Cosmetics,1,Yes
Mushroom Packaging Variant 341,4,2.4,7,1.38,41,1.92,Low,Low,Cosmetics,4,Yes
Corrugated Cardboard Variant 342,7,2.69,9,1.97,72,1.15,Medium,High,Electronics,2,No
Wooden Crate Variant 343,8,31.79,10,1.65,82,2.36,Medium,Medium,General,3,No
Bagasse Fiber Variant 344,8,32.06,6,5.08,69,0.29,Medium,Medium,Electronics,2,No
Aluminum Variant 345,9,17.92,2,3.34,85,0.52,High,Low,Cosmetics,4,No
Bagasse Fiber Variant 346,7,35.03,6,4.38,79,2.19,High,Medium,General,4,Yes
Recycled Paper Variant 347,4,19.58,2,3.88,57,0.22,Medium,Medium,Electronics,3,Yes
Corrugated Cardboard Variant 348,5,7.58,8,2.56,81,1.91,Low,Low,Food,2,Yes
Corrugated Cardboard Variant 349,6,48.04,1,3.19,65,1.8,High,High,Electronics,5,No
Steel Variant 350,7,12.32,5,3.66,60,1.14,Low,Low,Electronics,4,No
Molded Pulp Variant 351,9,40.22,8,4.93,61,2.03,Low,Medium,Food,4,Yes
Recycled Paper Variant 352,9,17.01,7,4.69,53,2.46,Medium,High,General,2,Yes
Glass Variant 353,6,7.61,6,5.21,66,0.51,Medium,Medium,General,2,No
Palm Leaf Variant 354,6,43.03,7,3.29,96,0.75,Low,Medium,Electronics,4,Yes
Recycled PET Variant 355,8,15.09,4,3.21,78,2.45,Medium,Medium,General,4,Yes
Bagasse Fiber Variant 356,4,14.27,5,1.59,61,1.34,Medium,Medium,Electronics,4,No
Glass Variant 357,7,37.95,5,2.19,48,1.8,Low,Low,Food,1,Yes
Biodegradable Plastic (PLA) Variant 358,8,33.76,2,2.81,51,1.9,Medium,Medium,General,4,No
Kraft Paper Variant 359,10,22.82,3,1.19,92,1.67,High,High,Cosmetics,2,Yes
Molded Pulp Variant 360,6,45.09,7,2.8,88,0.44,Medium,Low,Electronics,5,No
Mushroom Packaging Variant 361,6,36.05,5,3.37,93,0.84,Low,Medium,Food,1,Yes
Recycled Paper Variant 362,9,44.12,10,5.36,63,1.53,Low,Low,Food,2,No
Steel Variant 363,4,41.94,6,1.24,52,0.4,Low,Medium,Food,4,No
Molded Pulp Variant 364,7,4.32,3,3.55,42,0.36,Low,Low,Electronics,1,No
Glass Variant 365,9,24.2,9,2.53,57,2.15,High,High,Cosmetics,1,No
Molded Pulp Variant 366,6,20.08,8,1.38,91,1.82,Low,Low,Food,1,No
Steel Variant 367,7,37.87,1,5.32,88,2.38,Medium,Medium,General,2,No
Glass Variant 368,9,6.51,1,1.03,41,2.18,Medium,Low,Cosmetics,1,No
Steel Variant 369,5,23.55,9,3.61,45,1.03,High,Low,Cosmetics,1,No
Recycled PET Variant 370,4,15.71,6,1.02,76,2.31,Low,Low,Electronics,3,No
Steel Variant 371,8,46.42,10,2.74,52,1.39,Low,Medium,Food,1,No
Molded Pulp Variant 372,8,10.67,4,0.74,89,0.82,High,Low,Electronics,1,No
Bagasse Fiber Variant 373,8,33.57,2,4.18,44,0.94,High,Medium,General,4,Yes
Corrugated Cardboard Variant 374,4,12.06,5,5.93,90,1.29,Low,High,Food,4,No
Steel Variant 375,6,31.58,4,2.35,41,0.99,High,Low,Electronics,1,No
Glass Variant 376,6,39.41,4,4.33,73,0.97,Low,Medium,General,1,No
Glass Variant 377,9,20.77,4,4.33,40,1.36,Low,High,Electronics,5,No
Wooden Crate Variant 378,10,21.67,9,2.34,59,1.28,Medium,Medium,Food,5,Yes
Molded Pulp Variant 379,8,29.54,4,2.15,79,0.24,High,Medium,Electronics,3,Yes
Recycled Paper Variant 380,5,13.8,7,4.38,62,0.25,High,High,Food,2,No
Glass Variant 381,4,5.12,7,2.21,97,1.01,Low,High,General,2,No
Kraft Paper Variant 382,8,8.15,9,1.86,67,0.81,Low,Medium,General,2,No
Aluminum Variant 383,10,22.15,4,0.35,75,0.51,Low,Medium,Electronics,4,No
Mushroom Packaging Variant 384,5,44.95,9,3.03,58,1.89,Low,High,Cosmetics,5,Yes
Cornstarch Packaging Variant 385,5,29.55,6,5.11,67,1.93,Medium,Low,Cosmetics,3,No
Kraft Paper Variant 386,9,41.2,6,1.27,68,0.25,High,Medium,Food,5,No
Recycled Paper Variant 387,9,25.22,1,5.26,97,1.92,Medium,Low,Electronics,5,No
Bamboo Fiber Variant 388,4,11.03,1,3.47,57,0.79,High,Low,Food,5,Yes
Glass Variant 389,6,5.23,10,3.08,99,1.93,High,Low,Electronics,5,No
Mushroom Packaging Variant 390,9,44.16,3,2.53,100,2.23,Medium,Medium,General,4,Yes
Recycled PET Variant 391,5,15.1,4,5.0,50,0.59,High,Low,Food,5,Yes
Glass Variant 392,10,14.56,1,0.75,90,2.15,High,Medium,Cosmetics,1,Yes
Glass Variant 393,5,10.7,3,5.45,87,2.26,Low,Medium,Cosmetics,4,No
Bagasse Fiber Variant 394,6,37.75,8,5.21,51,0.31,Low,Medium,Food,4,No
Glass Variant 395,6,3.0,3,4.96,55,0.61,Low,Low,Food,3,Yes
Molded Pulp Variant 396,5,35.54,10,1.64,91,2.03,High,Medium,General,3,No
Mushroom Packaging Variant 397,7,21.43,5,4.85,49,1.65,High,Low,Electronics,4,No
Cornstarch Packaging Variant 398,10,29.94,10,0.4,95,2.06,Low,Medium,General,5,Yes
Glass Variant 399,6,20.39,5,3.71,92,0.24,High,Low,Cosmetics,4,No
Aluminum Variant 400,6,3.18,7,5.72,84,0.8,High,Low,Electronics,2,No
Molded Pulp Variant 401,5,17.8,10,1.57,92,2.0,Low,Medium,General,3,No
Corrugated Cardboard Variant 402,6,7.12,1,5.91,81,0.59,Medium,Low,Electronics,5,No
Cornstarch Packaging Variant 403,5,46.34,8,1.64,49,1.14,Low,Medium,Electronics,2,Yes
Bamboo Fiber Variant 404,6,33.2,1,2.85,77,2.0,High,High,General,2,No
Glass Variant 405,7,5.15,3,2.57,53,2.33,Medium,Medium,Food,5,No
Glass Variant 406,9,46.67,7,4.26,61,1.63,Medium,Low,General,5,Yes
Recycled PET Variant 407,8,6.29,9,5.3,95,0.55,Medium,Medium,Food,4,Yes
Palm Leaf Variant 408,8,16.92,5,5.42,72,1.83,Medium,Low,General,1,No
Molded Pulp Variant 409,8,28.01,6,2.84,67,2.27,Low,Medium,Electronics,5,No
Bamboo Fiber Variant 410,8,41.28,3,5.25,65,0.94,High,High,Food,1,Yes
Mushroom Packaging Variant 411,9,45.51,2,3.67,68,0.86,Medium,Medium,Cosmetics,5,No
Wooden Crate Variant 412,5,1.45,4,2.37,99,1.47,Low,High,Electronics,5,No
Corrugated Cardboard Variant 413,6,29.98,4,5.8,96,1.13,Low,Medium,General,5,Yes
Glass Variant 414,6,18.5,1,1.24,98,0.56,Low,Medium,Electronics,2,No
Cornstarch Packaging Variant 415,8,44.49,8,4.3,96,1.16,Medium,Low,Food,2,Yes
Wooden Crate Variant 416,7,18.0,9,4.65,93,2.19,High,Medium,Electronics,1,Yes
Wooden Crate Variant 417,7,36.04,6,2.74,42,2.06,Medium,Medium,General,2,No
Wooden Crate Variant 418,6,24.49,3,0.34,69,1.08,Low,High,Cosmetics,3,Yes
Aluminum Variant 419,5,3.41,8,5.26,90,2.29,Low,High,Cosmetics,5,Yes
Glass Variant 420,10,38.36,7,5.04,61,2.22,Medium,High,Electronics,2,No
Glass Variant 421,6,14.34,6,3.69,87,1.2,High,Low,Cosmetics,5,No
Mushroom Packaging Variant 422,7,19.78,3,3.69,44,1.28,Medium,Low,Food,2,No
Steel Variant 423,6,38.68,3,2.03,84,0.47,Medium,High,General,4,No
Wooden Crate Variant 424,5,19.0,7,5.83,94,0.79,Medium,High,Food,1,No
Aluminum Variant 425,10,46.37,7,4.15,90,1.4,Low,High,Electronics,2,Yes
Bamboo Fiber Variant 426,7,41.94,2,1.81,66,0.89,Medium,Medium,Cosmetics,4,No
Palm Leaf Variant 427,5,38.08,1,1.92,68,1.64,Low,Medium,Food,3,No
Palm Leaf Variant 428,7,42.53,7,3.6,84,1.79,Low,Medium,Food,5,No
Cornstarch Packaging Variant 429,4,1.07,6,5.54,45,0.94,Medium,High,General,1,Yes
Mushroom Packaging Variant 430,5,5.99,4,0.35,47,1.79,High,High,General,5,Yes
Cornstarch Packaging Variant 431,6,33.85,3,2.17,48,2.16,Medium,High,General,2,Yes
Bamboo Fiber Variant 432,6,3.29,8,5.85,84,0.3,High,Medium,Cosmetics,4,Yes
Kraft Paper Variant 433,4,17.75,3,2.65,61,2.02,Medium,High,General,2,No
Steel Variant 434,5,24.17,4,1.2,50,0.3,High,High,Cosmetics,4,Yes
Steel Variant 435,4,48.57,7,3.64,84,1.87,Medium,Low,General,5,No
Biodegradable Plastic (PLA) Variant 436,8,49.58,1,5.72,58,1.19,High,Medium,General,5,No
Bamboo Fiber Variant 437,4,18.94,5,5.1,90,0.39,Low,Medium,Electronics,3,Yes
Mushroom Packaging Variant 438,7,38.63,10,3.7,62,0.47,High,High,Cosmetics,5,No
Recycled Paper Variant 439,10,29.76,8,1.82,64,0.78,High,High,General,4,No
Bagasse Fiber Variant 440,9,18.07,8,0.28,68,0.99,Medium,Low,Food,1,Yes
Recycled PET Variant 441,10,19.39,2,4.93,74,1.13,Medium,Medium,General,3,No
Mushroom Packaging Variant 442,8,49.53,4,3.84,85,2.26,High,Low,Cosmetics,1,Yes
Mushroom Packaging Variant 443,4,16.31,8,3.31,44,1.87,High,Low,General,4,No
Biodegradable Plastic (PLA) Variant 444,8,25.45,3,1.3,48,1.27,Medium,Medium,Food,5,No
Molded Pulp Variant 445,6,1.11,7,4.83,53,1.21,Medium,Low,Electronics,1,Yes
Recycled Paper Variant 446,9,15.52,8,2.09,55,0.61,Medium,High,Cosmetics,2,No
Steel Variant 447,8,18.65,3,5.91,46,2.38,Low,Medium,General,2,Yes
Steel Variant 448,9,8.49,3,3.08,67,2.18,High,High,General,1,Yes
Bagasse Fiber Variant 449,10,11.06,10,0.47,63,1.96,High,Medium,Food,1,No
Aluminum Variant 450,7,31.24,7,5.7,62,1.17,Low,High,General,4,Yes
Steel Variant 451,10,25.65,2,0.55,95,0.76,Medium,Low,General,5,Yes
Corrugated Cardboard Variant 452,5,38.07,9,1.28,83,1.01,Medium,High,Electronics,3,No
Molded Pulp Variant 453,10,25.47,3,2.49,92,0.79,Low,High,General,2,Yes
Palm Leaf Variant 454,7,31.0,10,2.74,84,1.37,High,Medium,Food,4,Yes
Palm Leaf Variant 455,8,6.75,1,4.37,99,1.27,High,High,Food,2,No
Recycled PET Variant 456,5,44.24,5,2.57,92,1.23,High,Low,Electronics,2,No
Bamboo Fiber Variant 457,9,12.08,1,2.84,40,2.34,High,High,General,2,Yes
Bagasse Fiber Variant 458,5,30.22,10,1.71,69,0.88,Medium,Low,Food,4,No
Corrugated Cardboard Variant 459,7,20.26,2,5.66,67,0.8,Low,Medium,General,1,No
Corrugated Cardboard Variant 460,5,32.62,2,2.82,98,0.9,High,Low,General,4,No
Mushroom Packaging Variant 461,8,44.02,1,4.74,65,1.18,High,High,Cosmetics,2,Yes
Mushroom Packaging Variant 462,6,49.21,6,4.79,76,0.69,Medium,Medium,General,2,Yes
Palm Leaf Variant 463,4,19.47,4,3.37,41,1.9,High,High,Food,4,No
Recycled Paper Variant 464,5,45.61,2,3.89,70,0.64,High,Low,Food,3,Yes
Bagasse Fiber Variant 465,7,31.65,9,1.22,40,0.37,Low,Low,Electronics,4,Yes
Cornstarch Packaging Variant 466,7,38.27,3,4.92,98,1.18,Low,High,Cosmetics,3,Yes
Recycled Paper Variant 467,6,14.89,1,5.18,82,1.15,Low,Low,Food,4,Yes
Kraft Paper Variant 468,4,43.9,7,3.11,51,0.94,Low,Medium,General,2,No
Wooden Crate Variant 469,8,11.81,1,2.32,97,1.72,Low,Low,Food,1,Yes
Glass Variant 470,6,16.11,2,0.3,92,2.01,Low,High,Food,2,Yes
Bagasse Fiber Variant 471,6,3.53,9,4.53,71,1.73,High,Low,Electronics,4,Yes
Recycled Paper Variant 472,9,7.35,5,2.27,66,2.07,High,Low,Food,3,Yes
Bamboo Fiber Variant 473,6,35.7,8,0.48,77,2.25,High,Medium,Electronics,2,Yes
Wooden Crate Variant 474,10,8.22,1,5.48,77,2.08,High,Medium,Food,4,Yes
Recycled PET Variant 475,6,32.62,7,0.86,66,0.88,High,Low,Food,5,No
Bamboo Fiber Variant 476,10,15.85,10,5.1,64,2.19,Medium,Medium,Electronics,4,No
Bamboo Fiber Variant 477,5,44.84,1,5.61,70,2.33,Low,Medium,Cosmetics,4,No
Palm Leaf Variant 478,5,40.77,10,2.83,100,1.09,Low,Medium,Electronics,3,No
Bagasse Fiber Variant 479,6,13.1,3,3.0,79,1.14,Medium,Low,General,3,No
Wooden Crate Variant 480,10,23.67,10,0.26,50,0.43,Low,High,Electronics,3,No
Recycled PET Variant 481,5,41.4,5,2.92,96,2.05,Medium,High,Cosmetics,1,No
Wooden Crate Variant 482,9,8.04,3,5.58,59,1.79,Medium,Medium,Food,1,Yes
Cornstarch Packaging Variant 483,6,40.8,2,4.56,95,1.62,High,High,Food,1,No
Recycled Paper Variant 484,10,38.59,7,2.44,79,2.36,High,High,Electronics,5,Yes
Aluminum Variant 485,8,6.08,4,3.32,93,1.88,Medium,High,Food,5,Yes
Molded Pulp Variant 486,5,24.31,9,1.19,91,0.6,Medium,Low,Food,4,Yes
Bamboo Fiber Variant 487,7,21.29,4,1.73,47,1.13,High,Medium,Food,4,Yes
Biodegradable Plastic (PLA) Variant 488,9,27.72,7,4.71,70,0.62,Low,High,Cosmetics,4,No
Palm Leaf Variant 489,7,31.35,10,0.26,82,1.08,Medium,Medium,Food,3,No
Bamboo Fiber Variant 490,7,46.07,4,5.04,67,1.95,High,Low,Electronics,5,No
Aluminum Variant 491,6,7.0,1,3.78,47,1.04,Medium,Low,General,1,No
Wooden Crate Variant 492,9,20.12,5,5.64,60,1.86,Medium,Medium,Electronics,2,Yes
Bamboo Fiber Variant 493,10,42.83,3,2.77,64,1.52,High,Low,Electronics,2,No
Molded Pulp Variant 494,10,27.85,9,1.77,93,1.51,Medium,Low,Cosmetics,3,Yes
Wooden Crate Variant 495,8,12.52,2,1.17,62,1.6,Medium,Low,Electronics,4,No
Mushroom Packaging Variant 496,6,23.73,8,4.16,50,0.61,High,High,Electronics,1,No
Cornstarch Packaging Variant 497,7,10.25,4,3.23,70,1.83,Low,High,Food,2,Yes
Recycled Paper Variant 498,7,33.43,4,2.18,87,0.55,Medium,High,Electronics,2,Yes
Mushroom Packaging Variant 499,9,11.63,1,3.41,94,2.23,Low,High,Electronics,2,Yes
Steel Variant 500,6,4.41,8,5.53,81,1.91,Low,Medium,Electronics,3,Yes
