product_id,product_name,sector,main_packaging_material,strength_score,weight_capacity_score,barrier_score ,biodegradability_score,co2_emission_score,recyclability_percent,cost_score,reuse_potential_score
1,Smartphone box,Electronics,Recycled cardboard box + molded pulp tray,3,3,3,85,70,72,3,2
2,Laptop shipping pack,Electronics,Heavy corrugated cardboard + paper padding,3,4,3,88,70,73,3,2
3,Earbuds/headphones retail box,Electronics,Folding boxboard + paper insert,3,3,3,85,70,75,3,2
4,Fragile gadget shipper with loose fill,Electronics,Cardboard box + starch‑based packing peanuts,3,3,3,90,78,55,3,2
5,Snack bar wrapper,Food,Compostable PLA/cellulose multilayer film,3,3,4,80,75,28,4,1
6,Chips / dry snacks bag,Food,High‑barrier bio‑based or PE film with coating,3,3,5,65,55,20,3,1
7,Ready‑meal tray + lid,Food,Bagasse tray + PLA or cellulose lid film,3,3,4,85,80,45,3,1
8,Beverage can,Food,Aluminium can,5,5,5,0,55,85,3,2
9,Sauce or jam jar,Food,Glass jar + metal lid,4,3,5,0,50,82,3,4
10,Dairy in paper‑based cup,Food,Coated paper cup + bioplastic or PE lining,3,3,4,60,60,40,3,1
11,Premium chocolate box,Food,Rigid paperboard box + paper tray,3,3,3,85,70,75,4,3
12,Glass skincare jar,Cosmetics,Glass jar + aluminium / PCR plastic cap,4,3,5,10,52,80,3,4
13,PCR PET skincare bottle,Cosmetics,PCR PET bottle + plastic pump,4,4,4,0,55,58,2,3
14,Bamboo‑cased lipstick / compact,Cosmetics,Bamboo outer + plastic/metal insert,4,4,4,70,80,45,4,4
15,Aluminium cosmetic tin,Cosmetics,Aluminium screw‑top tin,5,5,5,0,55,85,3,4
16,Refillable foundation bottle,Cosmetics,Reusable glass/aluminium outer + refill cartridge,4,4,5,40,60,60,5,5
17,Refillable aluminium body‑wash bottle,Cosmetics,Aluminium bottle + concentrate refills,5,5,5,80,80,85,4,5
18,Blister pack for tablets ,Pharmaceuticals,PCR PET/foil blister + paperboard card,4,3,5,5,50,30,2,1
19,Cough syrup bottle ,Pharmaceuticals,Glass or PCR PET bottle + child‑proof cap,4,3,5,2,52,70,3,3
20,Soda PET bottle ,Beverages,PCR PET bottle + PCR cap,4,4,5,0,55,60,2,4
21,Premium glass water ,Beverages,Glass bottle + metal cap,4,3,5,0,50,82,3,5
22,T‑shirt shipping envelope ,Textiles/Apparel,Recycled paper/poly mailer or compostable film,3,3,3,80,65,60,2,2
23,Jeans retail box ,Textiles/Apparel,Recycled cardboard box + paper band,3,3,3,85,70,75,3,3
24,Shampoo refill pouch ,Personal Care/Home,Recycled plastic or compostable pouch,3,3,4,70,65,40,2,4
25,Detergent pod tray ,Personal Care/Home,Paperboard tray + bioplastic pods,3,3,4,75,72,65,3,2
26,Electric kettle box,Household Appliances,Heavy corrugated box + molded pulp inserts,4,4,3,85,70,75,3,2
27,Microwave oven shipper,Household Appliances,Reinforced corrugated fiberboard + foam corners,5,5,3,65,55,50,3,1
28,Blender packaging,Household Appliances,Cardboard box + molded paper trays,4,4,3,88,70,73,3,2
29,Refrigerator outer box,Household Appliances,Heavy-duty corrugated cardboard + paper edge protectors,5,5,3,80,72,70,4,2
30,Vacuum cleaner pack,Household Appliances,Corrugated board + paper pulp inserts,4,4,3,85,70,75,3,2
31,Ceiling fan box,Household Appliances,Recycled cardboard box + paper cushioning,4,4,3,85,70,72,3,2
32,Iron packaging,Household Appliances,Folding boxboard + paper pulp tray,3,3,3,88,70,75,3,2
33,Air purifier box,Household Appliances,Corrugated cardboard + recyclable foam pads,4,4,4,75,65,70,3,2
34,Coffee maker box,Household Appliances,Printed paperboard + recycled pulp,3,3,3,85,68,70,3,2
35,Toaster packaging,Household Appliances,Recycled cardboard + molded pulp liner,3,3,3,85,70,75,3,2
36,Dining chair carton,Furniture,Corrugated board + stretch film,4,5,3,70,65,50,3,2
37,Table flat pack,Furniture,Recycled cardboard + paper corner pads,5,5,3,75,68,68,4,2
38,Cushion packaging,Furniture,Compostable bag + tissue wrapping,3,3,2,90,78,60,3,3
39,Mattress roll wrap,Furniture,Recyclable PE film + paper sleeve,4,4,3,60,55,55,3,2
40,Lamp box,Furniture,Corrugated box + molded pulp,3,3,3,85,70,75,3,3
41,Kids’ toy box,Toys,Folding carton + paper insert,3,3,3,85,70,70,3,2
42,Building blocks tub,Toys,PCR PP tub + paper sleeve,4,4,4,20,55,60,2,3
43,Soft toy bag,Toys,Biodegradable PLA film + paper tag,3,3,2,80,70,40,3,2
44,Educational kit box,Toys,Paperboard box + pulp tray,3,3,3,85,70,75,3,3
45,Doll packaging,Toys,Recycled PET window + paperboard shell,3,3,3,65,60,55,3,2
46,Baby bottle pack,Baby Care,PCR PET clamshell + cardboard sleeve,4,4,4,25,55,60,3,3
47,Baby lotion bottle,Baby Care,HDPE bottle + paper label,4,4,4,0,55,55,2,3
48,Diaper bag pack,Baby Care,Recyclable PE or compostable film,3,3,3,70,65,45,3,2
49,Baby food pouch,Baby Care,Multi-layer biofilm with PLA,3,3,4,75,70,30,3,1
50,Baby wipes packet,Baby Care,Recyclable film + paper label,3,3,3,60,60,50,3,2
51,Motor oil bottle,Industrial/Automotive,PCR HDPE bottle + tamper seal,5,5,5,0,55,55,3,2
52,Brake fluid can,Industrial/Automotive,Metal can + plastic cap,5,5,5,0,50,75,3,3
53,Car part box,Industrial/Automotive,Heavy corrugated box + paper fillers,4,5,3,70,60,60,3,2
54,Lubricant pouch,Industrial/Automotive,Refill pouch with barrier film,4,4,4,50,55,45,2,3
55,Battery packaging,Industrial/Automotive,Recyclable PET clamshell + board backing,4,4,4,10,52,55,3,1
56,Medical syringe pack,Healthcare/Medical Devices,Sterilized blister + paper lid,4,3,5,5,50,30,3,1
57,Diagnostic test kit,Healthcare/Medical Devices,Paperboard box + plastic tray,3,3,4,40,60,50,3,2
58,Surgical gloves box,Healthcare/Medical Devices,Paperboard dispenser box,3,3,3,85,72,75,3,3
59,Bandage pouch,Healthcare/Medical Devices,Paper‑foil laminate,3,3,4,20,55,40,3,1
60,Thermometer box,Healthcare/Medical Devices,Folding boxboard + internal paper tray,3,3,3,88,70,75,3,2
61,Notebook pack,Stationery,Paper wrapper or kraft band,3,3,2,95,80,80,2,3
62,Pen blister card,Stationery,PET blister + paper backing,3,3,3,10,52,55,2,1
63,Printer cartridge box,Stationery,Cardboard box + pulp insert,3,3,3,80,70,70,3,2
64,Marker set pouch,Stationery,Recyclable film + paper header,3,3,3,70,65,50,2,2
65,Stapler pack,Stationery,Paperboard box + paper wrap,3,3,3,88,72,80,3,2
66,Water bottle (sports),Sports & Outdoor,Aluminium bottle + paper tag,5,5,5,0,55,85,3,5
67,Energy gel pouch,Sports & Outdoor,High‑barrier bio‑film,3,3,4,70,65,30,3,1
68,Tennis ball can,Sports & Outdoor,Aluminium‑plastic composite can,5,5,5,0,55,60,3,3
69,Sleeping bag sack,Sports & Outdoor,Recycled nylon bag,4,4,3,30,55,50,3,4
70,Fitness band box,Sports & Outdoor,Paperboard box + pulp tray,3,3,3,85,72,75,3,2
71,Camping stove box,Sports & Outdoor,Corrugated box + molded pulp,4,4,3,85,70,75,3,3
72,Helmet box,Sports & Outdoor,Corrugated cardboard with pulp insert,4,5,3,85,70,70,4,2
73,Yoga mat sleeve,Sports & Outdoor,Recycled kraft paper sleeve,3,3,2,90,75,80,2,3
74,Instant tent bag,Sports & Outdoor,Recyclable polyester bag,4,4,3,20,50,45,3,4
75,Torchlight blister,Sports & Outdoor,PET clamshell + paper card,4,4,4,10,52,55,3,2
76,Hand warmer pouch,Sports & Outdoor,Bio‑film with paper label,3,3,3,75,70,50,3,1
77,Vacuum-sealed coffee pack,Food,Multi‑layer compostable PLA and paper film,3,3,4,75,70,35,3,1
78,Protein powder tub,Food,PCR PET jar + paper label,4,4,5,20,55,60,3,3
79,Pet food pouch,Food,Recyclable polyethylene film,4,4,4,60,65,55,3,2
80,Ice cream pint,Food,Coated paper tub + lid,3,3,4,65,60,40,3,2
81,Non‑stick pan box,Household Appliances,Recycled cardboard box + corrugated insert,4,4,3,85,70,70,3,3
82,Wall clock box,Household Appliances,Folding carton + molded pulp tray,3,3,3,88,72,75,3,2
83,Yoga resistance band pouch,Sports & Outdoor,Compostable PLA zip pouch,3,3,3,85,75,40,3,2
84,Camping lantern box,Sports & Outdoor,Rigid paperboard with cardboard insert,4,4,3,85,72,72,3,3
85,Baby shampoo bottle,Baby Care,PCR PET bottle + paper label,4,4,4,0,55,58,3,3
86,Baby formula tin,Baby Care,Metal tin + paper label,5,5,5,0,50,80,3,4
87,Office file folder wrap,Stationery,Kraft paper wrap,3,3,2,95,80,85,2,3
88,Mechanical pencil pack,Stationery,Recyclable PET sleeve + paper backing,3,3,3,10,52,55,2,1
89,Wrench set box,Industrial/Automotive,Corrugated cardboard box with paper edge guards,4,5,3,75,68,65,4,2
90,Engine filter box,Industrial/Automotive,Recycled cardboard box + paper pad,4,4,3,85,70,70,3,2
91,Hospital gloves pouch,Healthcare/Medical Devices,Compostable PLA film + paper label,3,3,4,80,70,45,3,1
92,Dishwasher box,Household Appliances,Corrugated cardboard + molded fiber supports,5,5,3,80,68,72,4,2
93,Mixer grinder set,Household Appliances,Rigid carton + paper pulp trays,4,4,3,85,70,75,3,2
94,Induction cooktop box,Household Appliances,Laminated paperboard + molded pulp insert,4,4,3,78,68,68,3,2
95,Electric fan heater box,Household Appliances,Recycled cardboard + paper side supports,4,4,3,85,70,75,3,2
96,LED projector pack,Electronics,Folding boxboard + molded pulp tray,3,3,3,85,70,70,3,2
97,Gaming console packaging,Electronics,Corrugated box + paper tray inserts,5,5,3,75,65,65,4,2
98,Smart speaker box,Electronics,Paperboard box + molded paper tray,3,3,3,88,72,75,3,2
99,Power bank pack,Electronics,Recycled PET blister + paper backing,4,4,4,20,55,52,3,1
100,External hard drive box,Electronics,Rigid paperboard box + foam buffer,4,4,4,75,65,55,3,1
101,Wireless charger box,Electronics,Paperboard + mycelium insert,3,3,3,92,80,70,4,2
102,Gaming keyboard box,Electronics,Cardboard box + pulp tray,4,4,3,88,70,75,3,2
103,Office printer box,Electronics,Heavy corrugated board + paper padding,5,5,3,75,65,65,3,2
104,Keyboard + mouse combo pack,Electronics,Recycled cardboard + molded paper tray,4,4,3,85,70,70,3,2
105,Refrigerated yogurt cup,Food,Coated paper cup + foil lid,3,3,4,60,60,38,3,1
106,Soup cup (instant),Food,Paper cup + compostable PLA lid,3,3,4,70,65,45,3,2
107,Bakery pastry box,Food,Recycled kraft board with cellulose window,3,3,3,85,72,75,3,2
108,Frozen peas pouch,Food,Compostable multilayer PLA film,3,3,4,80,72,40,3,1
109,Cooking oil pouch,Food,Recyclable barrier polyethylene,4,4,5,60,55,50,3,2
110,Honey jar,Food,Glass jar + metal lid,4,3,5,0,50,82,3,4
111,Jam refill pouch,Food,Compostable film refill pouch,3,3,4,70,70,35,3,1
112,Cosmetic serum bottle,Cosmetics,Frosted glass bottle + metal cap,4,4,5,0,52,80,3,4
113,Shampoo bar box,Cosmetics,Recycled cardboard + paper wrap,3,3,3,90,78,80,3,3
114,Perfume gift set,Cosmetics,Paperboard box + molded pulp trays,3,3,4,85,72,75,4,3
115,Hair oil bottle,Cosmetics,PCR PET bottle + aluminium cap,4,4,4,0,55,60,3,3
116,Compact powder tin,Cosmetics,Aluminium round tin,5,5,5,0,55,85,3,4
117,Deodorant can,Cosmetics,Aluminium aerosol can,5,5,5,0,55,80,3,3
118,Makeup refill pouch,Cosmetics,Compostable or recyclable mono‑film,3,3,4,70,70,40,3,2
119,Travel cosmetic kit,Cosmetics,Recycled PP pouch,3,3,3,50,58,55,3,4
120,Pain relief spray can,Pharmaceuticals,Aluminium can + actuator,5,5,5,0,55,80,3,3
121,Thermal patch pack,Pharmaceuticals,Foil‑paper laminate sachet,3,3,5,10,55,40,3,1
122,Bandage roll wrap,Healthcare,Compostable cellulose film + paper label,3,3,3,85,72,58,3,2
123,Cotton swab box,Healthcare,Paperboard box + cellulose film window,3,3,3,90,75,70,3,3
124,Safety gloves pack,Industrial,Compostable pouch + paper label,3,3,3,80,70,55,3,2
125,Bike part kit,Automotive,Heavy corrugated box + paper padding,4,5,3,70,60,60,3,3
126,Tool organizer box,Industrial Tools,Recycled PP box + paper sleeve,5,5,4,15,50,65,3,4
127,Paint can,Industrial,Metal can + lid,5,5,5,0,50,85,3,3
128,Office paper ream wrapper,Stationery,Paper wrap + starch‑based glue,3,3,2,95,78,85,2,3
129,Fine art brush set pack,Stationery,Kraft paperboard + paper sleeve,3,3,3,90,75,75,3,3
130,Sports shoe box,Textiles/Apparel,Recycled cardboard shoe box,4,4,3,85,70,80,3,3
131,Jacket mailer,Textiles/Apparel,Compostable film + paper tape,3,3,3,80,70,60,2,3
132,Laundry detergent powder pack,Personal Care/Home,Paper bag with starch liner,3,3,4,80,75,70,3,2
133,Scented candle jar,Home Decor,Glass jar + aluminium lid,4,4,5,0,50,80,3,4
134,Curtain set sleeve,Home Decor,Recycled kraft paper wrap,3,3,2,95,80,80,2,3
